name,email,phone,website,city,source,category,created_at
Aarambh Cafe,,"
090995 81803",,India,google_maps_browser,,2026-02-14T08:15:52.488940
"Cafe Baba Budan, Bodakdev Ahmedabad | Where Every Sip Tells a Story",,"
087990 46413",http://www.bababudancafe.in,India,google_maps_browser,,2026-02-14T08:15:47.985192
Cafe Native Stories,,"
076000 85833",https://sipofhopecoffee.com,India,google_maps_browser,,2026-02-14T08:15:46.956880
Sip Of Hope - The Coffee House,,"
076000 85833",https://sipofhopecoffee.com,India,google_maps_browser,,2026-02-14T08:15:45.934558
Coffee By Di Bella Arista,,"
091671 99555",http://coffeebydibella.com,India,google_maps_browser,,2026-02-14T08:15:44.866810
Cafe De Italiano,,,,India,google_maps_browser,,2026-02-14T08:15:39.147174
Crush Coffee - SG Highway,,"
083206 12851",http://crushcoffee.in,India,google_maps_browser,,2026-02-14T08:15:33.656617
Zen Cafe,,"
091671 99555",http://coffeebydibella.com,Gujarat,google_maps_browser,,2026-02-14T08:15:06.846081
Roastery Cultúr - The Coffee Company,,"
093271 43223",,Gujarat,google_maps_browser,,2026-02-14T08:14:59.591010
Sip Of Hope - The Coffee House,,"
076000 85833",https://sipofhopecoffee.com,Gujarat,google_maps_browser,,2026-02-14T08:14:56.515927
Cafe De Italiano,,,,Gujarat,google_maps_browser,,2026-02-14T08:14:53.782850
"Nothing Before Coffee - Sindhu Bhavan , Ahmedabad",,"
088903 92869",https://stores.nothingbeforecoffee.com,Gujarat,google_maps_browser,,2026-02-14T08:14:49.640644
HANGOUT CAFE 24X7,,"
092278 59571",https://www.eulogiahotels.com/grandeulogia/hangout.html,Gujarat,google_maps_browser,,2026-02-14T08:14:48.566958
Cafe Everbean,,"
082000 19173",http://www.caffix.in,Gujarat,google_maps_browser,,2026-02-14T08:14:44.063761
Caffix- The Tech Cafe,,"
082000 19173",http://www.caffix.in,Gujarat,google_maps_browser,,2026-02-14T08:14:43.035161
The Gourmet LAB,,"
096876 26060",,Gujarat,google_maps_browser,,2026-02-14T08:14:41.594699
Bubblepop Café SBR,,"
096877 87773",http://bubblepoppancakes.com,Ahmedabad,google_maps_browser,,2026-02-14T08:14:18.822386
Surkhi Cafe,,"
095100 06189",,Ahmedabad,google_maps_browser,,2026-02-14T08:14:16.440117
"Nothing Before Coffee - Sindhu Bhavan , Ahmedabad",,"
088903 92869",https://stores.nothingbeforecoffee.com,Ahmedabad,google_maps_browser,,2026-02-14T08:13:51.866357
Cafe Affogato,,"
075674 11818",http://cafeaffogato.co.in,Ahmedabad,google_maps_browser,,2026-02-14T08:13:50.766276
Z27 Coffee Bar - Ahmedabad,,"
063594 82264",,Ahmedabad,google_maps_browser,,2026-02-14T08:13:44.921896
Sambar Cafe,,"
078744 44077",https://sambarcafe.com,India,google_maps_browser,,2026-02-14T08:13:22.440788
4 Coffee,,"
090544 83044",,India,google_maps_browser,,2026-02-14T08:13:21.221697
Ares cafe,,"
079848 43172",,India,google_maps_browser,,2026-02-14T08:13:16.792454
Aarambh Cafe,,"
079 6618 5000",http://www.marriott.com/hotels/hotel-information/restaurant/amdcy-courtyard-ahmedabad,India,google_maps_browser,,2026-02-14T08:13:13.593164
Java+,,"
079 6618 5000",http://www.marriott.com/hotels/hotel-information/restaurant/amdcy-courtyard-ahmedabad,India,google_maps_browser,,2026-02-14T08:13:11.878761
